Reactor name,Reactor type,Estimated burnup,e. U235,SFCompo sample ref,Measurement type,Sample identifier,Item,Z,A,I,Value,Unit,Concentration,Concentration Unit,Sigma,Uncertainty
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Activity,U,Sr90,38,90,0,0.0547,Ci/gHMi,0.3960,mg/gUi,1,5.7 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Activity,U,Tc99,43,99,0,0.0000113,Ci/gHMi,0.6599,mg/gUi,1,3.5 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Isotopic Concentration,U,Pu238,94,238,0,0.000158,g/gHMi,0.158,mg/gUi,1,1.6 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Isotopic Concentration,U,Pu239,94,239,0,0.00416,g/gHMi,4.16,mg/gUi,1,1.6 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Isotopic Concentration,U,Pu240,94,240,0,0.00236,g/gHMi,2.36,mg/gUi,1,1.6 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Isotopic Concentration,U,Pu241,94,241,0,0.000696,g/gHMi,0.696,mg/gUi,1,1.6 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Isotopic Concentration,U,Pu242,94,242,0,0.000434,g/gHMi,0.434,mg/gUi,1,1.6 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Isotopic Concentration,U,U234,92,234,0,0.000175,g/gHMi,0.175,mg/gUi,1,1.6 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Isotopic Concentration,U,U235,92,235,0,0.00712,g/gHMi,7.12,mg/gUi,1,1.6 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Isotopic Concentration,U,U236,92,236,0,0.00395,g/gHMi,3.95,mg/gUi,1,1.6 %
